,timestamp,state,action,reward,next_state
26,"2008-04-15 00:17:40,162","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '540', 'ST_31003477.Q_LISSE.value': '564.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '840', 'ST_31003477.Q_LISSE.value': '576.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}"
27,"2008-04-15 00:18:20,164","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '840', 'ST_31003477.Q_LISSE.value': '576.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '840', 'ST_31003477.Q_LISSE.value': '720.0', 'ST_31003477.T.value': '3.0', 'ST_31003477.T_LISSE.value': '3.0'}"
28,"2008-04-15 00:19:00,165","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '840', 'ST_31003477.Q_LISSE.value': '720.0', 'ST_31003477.T.value': '3.0', 'ST_31003477.T_LISSE.value': '3.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '960', 'ST_31003477.Q_LISSE.value': '864.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}"
29,"2008-04-15 00:19:40,155","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '960', 'ST_31003477.Q_LISSE.value': '864.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '660', 'ST_31003477.Q_LISSE.value': '852.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}"
30,"2008-04-15 00:20:20,161","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '660', 'ST_31003477.Q_LISSE.value': '852.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '960', 'ST_31003477.Q_LISSE.value': '864.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}"
31,"2008-04-15 00:21:00,166","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '960', 'ST_31003477.Q_LISSE.value': '864.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '660', 'ST_31003477.Q_LISSE.value': '840.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}"
32,"2008-04-15 00:21:40,165","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '660', 'ST_31003477.Q_LISSE.value': '840.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '720', 'ST_31003477.Q_LISSE.value': '792.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}"
33,"2008-04-15 00:22:20,161","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '720', 'ST_31003477.Q_LISSE.value': '792.0', 'ST_31003477.T.value': '1.0', 'ST_31003477.T_LISSE.value': '1.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '960', 'ST_31003477.Q_LISSE.value': '768.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}"
34,"2008-04-15 00:23:00,163","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '960', 'ST_31003477.Q_LISSE.value': '768.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '1080', 'ST_31003477.Q_LISSE.value': '900.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}"
35,"2008-04-15 00:23:40,164","{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '1080', 'ST_31003477.Q_LISSE.value': '900.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}",{'STRATEGIE_EN_COURS.CONSIGNE_EN_COURS.value': '14'},0,"{'STRATEGIE_EN_COURS.CYCLE.DUREE_CYCLE.value': '120', 'STRATEGIE_EN_COURS.CYCLE.DUREE_VERT_1.value': '120', 'ST_31003477.Q.value': '1140', 'ST_31003477.Q_LISSE.value': '1020.0', 'ST_31003477.T.value': '2.0', 'ST_31003477.T_LISSE.value': '2.0'}"
