Wall time,Step,Value
1720799413.51301,989000,51041.25390625
1720799598.498343,998000,50808.06640625
1720799659.607292,1001000,50811.90625
1720799825.281462,1009000,51250.171875
1720800068.5214138,1021000,51376.30859375
1720800213.0217779,1028000,51388.4296875
1720800469.807153,1041000,53273.79296875
1720800586.941196,1047000,53844.671875
1720800643.1328828,1050000,53876.046875
1720800681.9580202,1052000,55194.30859375
1720800759.891459,1056000,55748.14453125
1720800841.3591082,1060000,56498.09765625
1720800881.340676,1062000,56528.11328125
1720800980.579854,1067000,56308.16796875
1720800999.4070542,1068000,55890.91796875
1720801175.776341,1077000,56303.88671875
1720801291.866654,1083000,55542.1171875
1720801370.613556,1087000,56105.34765625
1720801390.3952892,1088000,56088.296875
1720801588.9937,1098000,56667.1640625
1720801688.821727,1103000,57454.39453125
1720801969.333431,1117000,57240.00390625
1720802417.7405372,1139000,57009.5234375
1720802438.777898,1140000,57029.62890625
1720804259.15948,1144000,57023.44921875
1720804275.8726962,1145000,57010.296875
1720804292.3850398,1146000,57002.2578125
1720804603.58356,1164000,56107.0390625
1720804815.492563,1176000,55937.3984375
1720804831.777754,1177000,55930.27734375
1720804946.475295,1183000,55453.21484375
1720804984.62505,1185000,55431.62890625
1720805081.015842,1190000,54907.8515625
1720805594.642365,1216000,53418.4453125
1720805633.1785972,1218000,53117.01171875
1720805830.36468,1228000,52804.34765625
1720806046.8436239,1239000,53156.3984375
1720806106.588941,1242000,53256.48828125
1720806166.696568,1245000,53240.48828125
1720806570.1935701,1265000,52176.78125
1720806690.9237561,1271000,52798.55078125
1720806834.4314308,1278000,52716.29296875
1720806957.865514,1284000,52977.46875
1720807163.165303,1294000,53550.3828125
1720807286.215899,1300000,52813.0078125
1720807346.8809931,1303000,52299.54296875
1720807512.802167,1311000,51191.84375
1720807576.437154,1314000,51819.19921875
1720807638.745055,1317000,51182.828125
1720807701.5294988,1320000,51735.59375
1720807723.743065,1321000,51763.6328125
1720808094.8006861,1339000,52164.48046875
1720808410.4017558,1354000,52224.41015625
1720808726.701996,1369000,51409.953125
1720808787.310828,1372000,51529.9765625
1720808808.055706,1373000,51500.68359375
1720808850.5648131,1375000,50966.55078125
1720808871.921197,1376000,50985.29296875
1720809336.481437,1398000,53662.2265625
1720809445.651615,1403000,53706.30078125
1720809509.989748,1406000,54348.4453125
1720809597.578872,1410000,54339.01171875
1720809639.714082,1412000,54374.8515625
1720809722.740594,1416000,54184.56640625
1720809806.262134,1420000,53490.48828125
1720809890.029748,1424000,52960.44921875
1720810428.697383,1449000,53044.13671875
1720810451.956598,1450000,53074.9921875
1720810694.790082,1461000,53944.58203125
1720812273.350705,1465000,53099.19140625
1720812291.188276,1466000,53157.18359375
1720812342.859141,1469000,53442.0859375
1720812378.126658,1471000,53595.2421875
1720812550.071966,1481000,52394.30078125
1720812673.417595,1488000,52331.05859375
1720812932.1804821,1503000,52424.83203125
1720812950.011549,1504000,52316.65625
1720813002.428997,1507000,51930.64453125
1720813464.952381,1531000,52106.6328125
1720813484.2958772,1532000,52226.76953125
1720813523.4795651,1534000,52352.8984375
1720813797.264791,1548000,52871.4453125
1720813817.613112,1549000,52952.54296875
1720813998.279435,1558000,54708.66796875
1720814117.2873302,1564000,54913.21484375
1720814200.3677728,1568000,55438.48828125
